Date,Sales
2015-01-01,1046
2015-02-01,1290
2015-03-01,1409
2015-04-01,1726
2015-05-01,1610
2015-06-01,1507
2015-07-01,1217
2015-08-01,1072
2015-09-01,773
2015-10-01,821
2015-11-01,1200
2015-12-01,1501
2016-01-01,1766
2016-02-01,1872
2016-03-01,2119
2016-04-01,2111
2016-05-01,2148
2016-06-01,2095
2016-07-01,1926
2016-08-01,1858
2016-09-01,1494
2016-10-01,1399
2016-11-01,1517
2016-12-01,2002
2017-01-01,2080
2017-02-01,2738
2017-03-01,2711
2017-04-01,2940
2017-05-01,2966
2017-06-01,2788
2017-07-01,2481
2017-08-01,2375
2017-09-01,2112
2017-10-01,1985
2017-11-01,2323
2017-12-01,2622
2018-01-01,2765
2018-02-01,2996
2018-03-01,3520
2018-04-01,3283
2018-05-01,3348
2018-06-01,3384
2018-07-01,3069
2018-08-01,2906
2018-09-01,2577
2018-10-01,2640
2018-11-01,2810
2018-12-01,3157
2019-01-01,3400
2019-02-01,3882
2019-03-01,4077
2019-04-01,4149
2019-05-01,3859
2019-06-01,3742
2019-07-01,3703
2019-08-01,3292
2019-09-01,3342
2019-10-01,3182
2019-11-01,3363
2019-12-01,3667
2020-01-01,4001
2020-02-01,4272
2020-03-01,4739
2020-04-01,4765
2020-05-01,4709
2020-06-01,4170
2020-07-01,4178
2020-08-01,3913
2020-09-01,3935
2020-10-01,3850
2020-11-01,4033
2020-12-01,4324
2021-01-01,4916
2021-02-01,5191
2021-03-01,5040
2021-04-01,5345
2021-05-01,5046
2021-06-01,4799
2021-07-01,4549
2021-08-01,4372
2021-09-01,4469
2021-10-01,4448
2021-11-01,4810
2021-12-01,4910
2022-01-01,5361
2022-02-01,5685
2022-03-01,5730
2022-04-01,5717
2022-05-01,5614
2022-06-01,5362
2022-07-01,5394
2022-08-01,5146
2022-09-01,5153
2022-10-01,5138
2022-11-01,5385
2022-12-01,5846
2023-01-01,6004
2023-02-01,6069
2023-03-01,6279
2023-04-01,6542
2023-05-01,6109
2023-06-01,6254
2023-07-01,5804
2023-08-01,5798
2023-09-01,5879
2023-10-01,5863
2023-11-01,6036
2023-12-01,6210
2024-01-01,6773
2024-02-01,6977
2024-03-01,6958
2024-04-01,6894
2024-05-01,6990
2024-06-01,6804
2024-07-01,6405
2024-08-01,6496
2024-09-01,6489
2024-10-01,6414
2024-11-01,6609
2024-12-01,7091
